accident_id,date_time,road_segment_id,severity,vehicles_involved,casualties
1,2025-04-02 04:10:00,357,High,7,2
2,2025-03-16 10:23:00,498,Low,2,4
3,2025-03-03 00:00:00,416,Medium,6,4
4,2025-03-15 18:31:00,451,High,3,1
5,2025-03-24 03:13:00,3,Medium,8,0
6,2025-04-02 13:40:00,214,Medium,3,3
7,2025-03-10 05:44:00,342,High,9,2
8,2025-03-25 02:15:00,74,Low,1,0
9,2025-03-21 23:45:00,51,Medium,5,0
10,2025-03-15 06:16:00,67,Medium,3,1
11,2025-03-22 09:51:00,332,High,6,3
12,2025-04-04 03:16:00,93,High,2,2
13,2025-03-09 02:33:00,176,High,9,3
14,2025-03-16 05:17:00,145,High,6,1
15,2025-03-20 07:49:00,7,High,7,4
16,2025-03-11 16:12:00,269,Critical,5,0
17,2025-03-19 00:18:00,376,High,9,2
18,2025-03-02 20:23:00,322,Low,1,4
19,2025-04-03 04:41:00,4,Medium,5,1
20,2025-03-07 13:45:00,138,Low,6,3
21,2025-03-03 07:26:00,231,Low,7,0
22,2025-03-03 12:59:00,88,Critical,4,2
23,2025-03-20 03:54:00,17,High,1,4
24,2025-03-04 07:23:00,52,Medium,8,4
25,2025-03-17 01:21:00,134,Low,4,0
26,2025-03-08 12:28:00,211,High,3,3
27,2025-04-03 01:08:00,325,High,7,1
28,2025-03-08 19:01:00,480,Critical,2,3
29,2025-03-08 18:51:00,458,Critical,8,3
30,2025-03-10 10:09:00,393,Critical,6,3
31,2025-03-22 18:38:00,219,Medium,7,0
32,2025-03-27 07:00:00,205,Low,5,0
33,2025-03-05 04:22:00,211,Critical,9,1
34,2025-04-01 11:37:00,277,Critical,5,3
35,2025-03-10 09:15:00,24,Critical,5,0
36,2025-03-05 06:39:00,486,Low,3,1
37,2025-04-01 22:31:00,4,Low,1,1
38,2025-03-29 14:53:00,152,Critical,2,3
39,2025-03-16 01:31:00,443,Critical,8,2
40,2025-03-18 07:04:00,483,High,1,3
41,2025-03-31 09:50:00,259,Critical,7,2
42,2025-03-03 02:44:00,324,Medium,5,1
43,2025-03-07 16:12:00,357,Medium,3,0
44,2025-03-04 21:56:00,168,Critical,7,4
45,2025-03-09 01:13:00,176,Low,9,1
46,2025-04-03 23:47:00,310,High,2,0
47,2025-03-03 00:12:00,291,Low,8,1
48,2025-03-16 01:12:00,479,Critical,9,3
49,2025-03-05 00:52:00,56,Medium,3,2
50,2025-03-22 14:05:00,108,High,2,1
51,2025-03-01 10:54:00,473,Low,7,0
52,2025-03-12 21:43:00,296,Low,5,3
53,2025-03-02 05:58:00,461,Critical,5,4
54,2025-03-27 08:07:00,324,High,5,3
55,2025-03-21 04:47:00,302,Medium,4,2
56,2025-03-09 01:38:00,334,Critical,5,3
57,2025-03-06 20:46:00,141,High,4,4
58,2025-03-16 00:46:00,155,Low,6,0
59,2025-03-26 09:51:00,262,Critical,4,1
60,2025-04-03 22:27:00,273,Low,2,2
61,2025-03-19 21:20:00,420,Low,9,4
62,2025-03-21 12:51:00,232,Critical,2,2
63,2025-03-16 15:38:00,241,Critical,9,3
64,2025-03-29 03:55:00,355,Critical,6,2
65,2025-03-31 12:44:00,337,Critical,9,4
66,2025-03-15 12:20:00,489,Critical,9,1
67,2025-03-16 12:36:00,258,Low,3,1
68,2025-03-16 23:43:00,249,Medium,1,2
69,2025-03-28 04:28:00,77,Medium,1,0
70,2025-03-13 01:52:00,180,Critical,3,2
71,2025-03-15 08:58:00,66,Low,5,3
72,2025-03-30 11:50:00,308,Medium,3,1
73,2025-03-19 10:15:00,348,Medium,9,1
74,2025-03-25 14:50:00,171,Medium,9,1
75,2025-03-24 10:37:00,474,Low,3,0
76,2025-03-09 15:56:00,22,Critical,3,0
77,2025-03-29 14:54:00,367,Critical,5,4
78,2025-03-04 06:31:00,107,Critical,2,2
79,2025-03-05 11:59:00,439,High,6,2
80,2025-03-22 19:10:00,323,High,7,3
81,2025-03-10 03:21:00,227,High,9,1
82,2025-03-23 07:52:00,444,Low,6,0
83,2025-03-11 03:55:00,442,Medium,3,3
84,2025-03-29 08:43:00,396,Medium,5,3
85,2025-03-22 00:57:00,216,Low,4,0
86,2025-03-15 11:16:00,69,Low,5,2
87,2025-03-18 05:51:00,84,Critical,8,1
88,2025-03-01 16:47:00,103,Critical,8,2
89,2025-03-19 06:51:00,39,High,6,3
90,2025-03-29 02:16:00,13,High,1,1
91,2025-03-08 11:23:00,297,Low,8,4
92,2025-03-03 17:08:00,313,High,8,3
93,2025-03-20 03:33:00,181,Medium,2,2
94,2025-03-14 07:47:00,493,Low,4,2
95,2025-03-09 07:17:00,268,Low,2,2
96,2025-03-04 00:59:00,13,Medium,4,0
97,2025-03-20 09:59:00,120,Critical,7,3
98,2025-03-12 10:42:00,458,Critical,9,1
99,2025-03-19 19:45:00,353,Medium,8,2
100,2025-03-01 14:37:00,57,Medium,9,2
101,2025-04-03 13:53:00,40,High,8,0
102,2025-03-13 16:12:00,374,Low,2,1
103,2025-03-22 18:14:00,336,High,7,3
104,2025-03-14 05:29:00,128,Medium,2,4
105,2025-03-13 08:12:00,173,High,2,0
106,2025-03-02 19:57:00,35,Medium,4,3
107,2025-03-06 00:42:00,259,High,1,4
108,2025-03-30 04:25:00,376,High,5,2
109,2025-03-29 17:41:00,5,Critical,6,2
110,2025-03-25 18:11:00,218,Medium,9,1
111,2025-03-24 14:12:00,11,High,8,4
112,2025-03-12 18:08:00,382,Low,2,2
113,2025-03-20 23:02:00,327,High,1,2
114,2025-03-09 05:11:00,117,High,2,1
115,2025-04-03 11:52:00,184,Low,7,3
116,2025-03-14 13:56:00,394,Medium,4,2
117,2025-03-18 14:23:00,362,Critical,5,0
