ride_id,route_id,vehicle_type,boarding_stop,alighting_stop,passenger_count,fare,timestamp
1,47,Tram,Stop_7,Stop_19,76,26.15,2025-02-20 06:41:00
2,53,Bus,Stop_28,Stop_15,30,27.61,2025-02-13 17:00:00
3,74,Tram,Stop_9,Stop_9,23,14.03,2025-02-21 11:31:00
4,46,Bus,Stop_28,Stop_10,16,19.18,2025-02-25 16:05:00
5,13,Metro,Stop_6,Stop_44,14,40.61,2025-02-19 10:12:00
6,37,Bus,Stop_29,Stop_31,74,46.21,2025-02-05 11:44:00
7,24,Bus,Stop_17,Stop_23,71,21.19,2025-02-12 12:02:00
8,2,Bus,Stop_16,Stop_30,52,18.81,2025-03-02 01:36:00
9,86,Metro,Stop_23,Stop_33,37,13.78,2025-03-06 06:12:00
10,81,Bus,Stop_31,Stop_9,29,35.53,2025-03-05 15:48:00
11,14,Metro,Stop_3,Stop_47,67,19.54,2025-03-02 12:31:00
12,10,Tram,Stop_21,Stop_1,15,49.45,2025-02-07 00:43:00
13,35,Bus,Stop_26,Stop_44,47,19.66,2025-02-23 15:54:00
14,25,Metro,Stop_36,Stop_35,46,22.74,2025-02-01 01:00:00
15,3,Metro,Stop_42,Stop_11,52,32.15,2025-02-07 10:29:00
16,17,Bus,Stop_37,Stop_34,19,41.08,2025-02-17 00:25:00
17,12,Tram,Stop_22,Stop_16,77,26.13,2025-02-03 00:15:00
18,54,Metro,Stop_42,Stop_9,21,24.02,2025-02-11 15:23:00
19,24,Bus,Stop_12,Stop_32,64,49.8,2025-02-09 13:52:00
20,29,Tram,Stop_42,Stop_15,37,5.47,2025-03-04 00:03:00
21,43,Metro,Stop_13,Stop_12,27,45.28,2025-03-07 12:57:00
22,25,Metro,Stop_11,Stop_33,55,11.71,2025-02-27 19:11:00
23,60,Tram,Stop_16,Stop_45,29,40.37,2025-02-22 10:50:00
24,90,Tram,Stop_8,Stop_14,20,32.81,2025-02-23 05:36:00
25,65,Bus,Stop_40,Stop_8,25,20.38,2025-02-09 07:22:00
26,84,Bus,Stop_40,Stop_8,70,44.32,2025-02-24 03:02:00
27,28,Metro,Stop_45,Stop_27,63,5.58,2025-02-14 18:46:00
28,16,Tram,Stop_2,Stop_12,36,15.2,2025-02-03 18:51:00
29,47,Tram,Stop_30,Stop_1,2,30.51,2025-02-14 17:42:00
30,81,Tram,Stop_30,Stop_43,22,20.82,2025-02-02 11:55:00
31,92,Metro,Stop_12,Stop_40,96,32.47,2025-02-28 14:05:00
32,58,Tram,Stop_10,Stop_42,16,6.08,2025-02-07 09:16:00
33,76,Tram,Stop_44,Stop_11,18,10.24,2025-03-03 04:19:00
34,27,Metro,Stop_11,Stop_39,69,10.72,2025-02-16 01:49:00
35,53,Bus,Stop_15,Stop_43,54,13.52,2025-02-10 06:07:00
36,42,Bus,Stop_16,Stop_31,30,25.67,2025-02-25 15:14:00
37,59,Metro,Stop_17,Stop_17,45,38.85,2025-02-23 18:09:00
38,47,Tram,Stop_26,Stop_33,19,45.75,2025-03-02 03:53:00
39,94,Metro,Stop_2,Stop_32,87,42.59,2025-02-18 03:40:00
40,34,Bus,Stop_50,Stop_29,34,13.86,2025-02-11 07:00:00
41,37,Bus,Stop_12,Stop_21,13,24.85,2025-02-08 13:31:00
42,6,Metro,Stop_26,Stop_21,43,13.97,2025-02-25 01:09:00
43,7,Metro,Stop_23,Stop_40,62,16.9,2025-02-04 15:49:00
44,96,Bus,Stop_18,Stop_23,93,27.66,2025-03-03 11:20:00
45,96,Metro,Stop_32,Stop_6,22,8.06,2025-03-06 15:47:00
46,25,Bus,Stop_49,Stop_22,52,14.82,2025-02-06 18:40:00
47,33,Metro,Stop_38,Stop_50,52,47.09,2025-03-07 10:29:00
48,55,Metro,Stop_47,Stop_38,36,25.98,2025-02-08 11:00:00
49,58,Metro,Stop_3,Stop_37,73,25.04,2025-02-25 22:17:00
50,7,Bus,Stop_38,Stop_45,19,5.66,2025-02-22 11:30:00
51,57,Metro,Stop_3,Stop_8,38,16.13,2025-02-13 00:05:00
52,12,Bus,Stop_30,Stop_41,70,43.98,2025-02-10 23:40:00
53,16,Bus,Stop_1,Stop_49,79,12.41,2025-02-08 21:20:00
54,80,Metro,Stop_30,Stop_35,57,23.68,2025-02-04 17:58:00
55,43,Metro,Stop_45,Stop_11,20,5.64,2025-02-04 20:09:00
56,77,Bus,Stop_32,Stop_24,9,26.53,2025-02-21 04:22:00
57,7,Bus,Stop_28,Stop_49,32,5.95,2025-02-26 11:26:00
58,51,Tram,Stop_21,Stop_21,4,41.88,2025-02-13 02:51:00
59,73,Bus,Stop_46,Stop_2,50,42.12,2025-03-07 03:38:00
60,32,Tram,Stop_13,Stop_40,82,40.45,2025-02-05 19:37:00
61,75,Tram,Stop_27,Stop_19,5,17.75,2025-02-28 16:46:00
62,8,Tram,Stop_36,Stop_39,20,42.68,2025-03-07 12:19:00
63,97,Metro,Stop_7,Stop_28,87,29.43,2025-02-08 13:00:00
64,87,Metro,Stop_22,Stop_17,75,21.82,2025-02-18 11:02:00
65,89,Bus,Stop_10,Stop_6,37,33.14,2025-02-18 13:19:00
66,72,Tram,Stop_39,Stop_19,22,5.56,2025-02-27 11:06:00
67,45,Metro,Stop_15,Stop_38,58,11.43,2025-03-04 10:00:00
68,86,Metro,Stop_15,Stop_28,68,38.4,2025-02-25 22:28:00
69,59,Metro,Stop_4,Stop_2,93,15.99,2025-03-01 07:24:00
70,4,Metro,Stop_32,Stop_38,44,31.91,2025-03-06 12:17:00
71,67,Metro,Stop_23,Stop_37,34,22.33,2025-02-10 20:41:00
72,29,Tram,Stop_6,Stop_4,77,43.47,2025-03-01 03:44:00
73,29,Tram,Stop_24,Stop_22,42,47.86,2025-02-27 04:31:00
74,98,Tram,Stop_20,Stop_26,9,44.76,2025-03-04 16:54:00
75,98,Tram,Stop_37,Stop_49,95,17.18,2025-02-07 05:57:00
76,28,Bus,Stop_20,Stop_43,7,13.74,2025-03-01 04:06:00
77,77,Tram,Stop_12,Stop_36,68,26.35,2025-02-15 00:15:00
78,79,Metro,Stop_33,Stop_13,19,5.33,2025-03-01 09:00:00
79,87,Tram,Stop_28,Stop_32,94,6.16,2025-02-03 05:45:00
80,44,Bus,Stop_8,Stop_17,31,29.9,2025-03-03 22:58:00
