road_segment_id,name,region,lane_count,avg_kg_capacity
1,Road_1,Residential,4,4031
2,Road_2,Highway,1,4951
3,Road_3,Industrial,5,3435
4,Road_4,Highway,3,4376
5,Road_5,Highway,3,626
6,Road_6,Suburbs,1,3677
7,Road_7,Industrial,4,3556
8,Road_8,Industrial,4,1103
9,Road_9,Industrial,5,3949
10,Road_10,Highway,1,4646
11,Road_11,Residential,3,4033
12,Road_12,Industrial,4,3867
13,Road_13,Highway,1,3868
14,Road_14,Suburbs,4,4297
15,Road_15,Residential,4,2292
16,Road_16,Suburbs,3,3361
17,Road_17,Residential,2,3976
18,Road_18,Highway,5,3917
19,Road_19,Downtown,5,2145
20,Road_20,Residential,3,1705
21,Road_21,Suburbs,4,3530
22,Road_22,Highway,1,3372
23,Road_23,Residential,4,3572
24,Road_24,Downtown,3,2354
25,Road_25,Downtown,5,4521
26,Road_26,Industrial,4,3208
27,Road_27,Industrial,5,4002
28,Road_28,Suburbs,1,1832
29,Road_29,Residential,5,701
30,Road_30,Residential,5,4007
31,Road_31,Industrial,2,4712
32,Road_32,Residential,2,1074
33,Road_33,Residential,2,1036
34,Road_34,Downtown,5,2125
35,Road_35,Industrial,3,2622
36,Road_36,Highway,5,885
37,Road_37,Industrial,3,3781
38,Road_38,Highway,3,974
39,Road_39,Downtown,2,917
40,Road_40,Suburbs,4,4100
41,Road_41,Residential,1,1454
42,Road_42,Downtown,2,1705
43,Road_43,Residential,2,4620
44,Road_44,Suburbs,4,2490
45,Road_45,Suburbs,1,4072
46,Road_46,Downtown,5,4880
47,Road_47,Suburbs,5,4658
48,Road_48,Highway,2,3213
49,Road_49,Suburbs,1,2703
50,Road_50,Residential,2,3620
51,Road_51,Residential,3,1466
52,Road_52,Residential,2,3932
53,Road_53,Residential,2,1188
54,Road_54,Highway,5,4743
55,Road_55,Industrial,5,4201
56,Road_56,Downtown,5,841
57,Road_57,Residential,3,2224
58,Road_58,Suburbs,5,4922
59,Road_59,Residential,1,2292
60,Road_60,Suburbs,4,2259
61,Road_61,Suburbs,1,3712
62,Road_62,Residential,1,1489
63,Road_63,Highway,5,2762
64,Road_64,Suburbs,4,2982
65,Road_65,Suburbs,4,1451
66,Road_66,Residential,4,1222
67,Road_67,Suburbs,3,3889
68,Road_68,Suburbs,5,2579
69,Road_69,Residential,4,3217
70,Road_70,Residential,3,2832
71,Road_71,Downtown,2,3876
72,Road_72,Highway,2,2000
73,Road_73,Highway,3,785
74,Road_74,Suburbs,3,3995
75,Road_75,Highway,5,2565
76,Road_76,Suburbs,5,1268
77,Road_77,Downtown,2,3557
78,Road_78,Residential,4,4789
79,Road_79,Residential,2,2661
80,Road_80,Residential,4,3793
81,Road_81,Highway,4,1446
82,Road_82,Downtown,5,3835
83,Road_83,Highway,1,4650
84,Road_84,Highway,1,1981
85,Road_85,Downtown,3,2401
86,Road_86,Downtown,5,3951
87,Road_87,Downtown,4,4564
88,Road_88,Downtown,1,554
89,Road_89,Residential,4,2323
90,Road_90,Industrial,1,3962
91,Road_91,Industrial,1,3579
92,Road_92,Downtown,1,1332
93,Road_93,Industrial,5,4908
94,Road_94,Industrial,2,3306
95,Road_95,Downtown,4,2990
96,Road_96,Industrial,5,827
97,Road_97,Highway,5,3810
98,Road_98,Suburbs,5,3800
99,Road_99,Suburbs,5,4175
100,Road_100,Downtown,5,3554
101,Road_101,Residential,3,2643
102,Road_102,Downtown,4,1811
103,Road_103,Residential,5,3691
104,Road_104,Suburbs,4,3038
105,Road_105,Downtown,3,4483
106,Road_106,Highway,3,664
107,Road_107,Industrial,4,4777
108,Road_108,Residential,1,1322
109,Road_109,Industrial,2,1443
110,Road_110,Industrial,1,4925
111,Road_111,Downtown,1,1274
112,Road_112,Industrial,1,2698
113,Road_113,Highway,5,3656
114,Road_114,Industrial,3,4742
115,Road_115,Downtown,1,4195
116,Road_116,Highway,3,3952
117,Road_117,Suburbs,4,1414
118,Road_118,Industrial,2,1808
119,Road_119,Downtown,4,4677
120,Road_120,Suburbs,4,1013
121,Road_121,Suburbs,5,2420
122,Road_122,Residential,2,4094
123,Road_123,Highway,4,1909
124,Road_124,Industrial,4,3690
125,Road_125,Downtown,2,4991
126,Road_126,Residential,2,2055
127,Road_127,Highway,4,1304
128,Road_128,Residential,2,1779
129,Road_129,Highway,4,4077
130,Road_130,Highway,4,3401
131,Road_131,Industrial,5,1887
132,Road_132,Highway,1,3261
133,Road_133,Residential,4,3179
134,Road_134,Highway,3,2606
135,Road_135,Industrial,1,4723
136,Road_136,Industrial,1,3268
137,Road_137,Residential,1,4453
138,Road_138,Suburbs,5,3686
139,Road_139,Suburbs,4,3780
140,Road_140,Highway,5,3073
141,Road_141,Downtown,4,3099
142,Road_142,Highway,5,4533
143,Road_143,Residential,5,736
144,Road_144,Residential,3,1804
145,Road_145,Residential,5,3930
146,Road_146,Residential,2,1801
147,Road_147,Residential,3,3041
148,Road_148,Industrial,5,2551
149,Road_149,Suburbs,1,941
150,Road_150,Residential,2,2576
151,Road_151,Downtown,2,3680
152,Road_152,Downtown,2,3157
153,Road_153,Downtown,3,4298
154,Road_154,Downtown,5,1304
155,Road_155,Industrial,5,574
156,Road_156,Downtown,1,2675
157,Road_157,Residential,1,4424
158,Road_158,Highway,2,2589
159,Road_159,Downtown,1,540
160,Road_160,Industrial,3,2581
161,Road_161,Industrial,5,2122
162,Road_162,Downtown,2,841
163,Road_163,Highway,1,4552
164,Road_164,Downtown,3,2574
165,Road_165,Industrial,3,1145
166,Road_166,Suburbs,1,4763
167,Road_167,Residential,5,1109
168,Road_168,Industrial,1,954
169,Road_169,Downtown,2,3453
170,Road_170,Residential,1,2208
171,Road_171,Downtown,3,3972
172,Road_172,Downtown,1,3469
173,Road_173,Suburbs,5,3528
174,Road_174,Residential,4,3181
175,Road_175,Residential,1,4129
176,Road_176,Suburbs,5,4725
177,Road_177,Industrial,5,3567
178,Road_178,Downtown,3,1886
179,Road_179,Highway,5,4276
180,Road_180,Downtown,5,3366
181,Road_181,Downtown,5,3863
182,Road_182,Industrial,5,4624
183,Road_183,Downtown,2,648
184,Road_184,Suburbs,2,4350
185,Road_185,Suburbs,3,2558
186,Road_186,Residential,1,1636
187,Road_187,Highway,5,686
188,Road_188,Downtown,1,3354
189,Road_189,Downtown,1,1750
190,Road_190,Industrial,3,1833
191,Road_191,Suburbs,5,4693
192,Road_192,Highway,5,4650
193,Road_193,Residential,4,3211
194,Road_194,Suburbs,1,2285
195,Road_195,Residential,1,1250
196,Road_196,Industrial,2,2262
197,Road_197,Industrial,4,4420
198,Road_198,Downtown,2,4960
199,Road_199,Highway,2,981
200,Road_200,Residential,2,653
201,Road_201,Suburbs,3,2024
202,Road_202,Industrial,3,2620
203,Road_203,Downtown,2,2843
204,Road_204,Downtown,4,1740
205,Road_205,Residential,1,560
206,Road_206,Industrial,4,1438
207,Road_207,Highway,5,2139
208,Road_208,Industrial,3,4620
209,Road_209,Residential,1,4726
210,Road_210,Residential,1,4069
211,Road_211,Industrial,5,1752
212,Road_212,Residential,5,4703
