card_id,user_id,ride_id,payment_method,amount
1,188,28,Card,14.42
2,61,65,Cash,5.53
3,148,17,Cash,49.88
4,138,351,Card,17.65
5,87,428,UPI,35.06
6,105,138,Wallet,12.95
7,34,319,UPI,31.11
8,124,229,UPI,45.68
9,110,254,Card,19.41
10,176,477,Cash,35.16
11,33,210,Card,13.46
12,98,431,UPI,33.12
13,61,294,Wallet,20.14
14,10,231,Wallet,14.5
15,182,241,Wallet,19.09
16,84,70,Card,13.05
17,65,104,Cash,45.59
18,77,204,Card,22.87
19,1,53,Wallet,16.04
20,133,462,UPI,25.18
21,80,428,Cash,19.42
22,15,375,Card,38.5
23,28,330,Card,48.7
24,23,54,Cash,24.71
25,109,276,Cash,43.75
26,107,335,UPI,30.46
27,145,31,Cash,12.08
28,113,135,UPI,36.08
29,98,58,Wallet,28.1
30,141,105,Wallet,34.28
31,142,266,Card,45.04
32,139,10,Wallet,24.82
33,28,496,Wallet,45.55
34,42,253,UPI,38.78
35,99,295,Card,26.99
36,61,156,Cash,32.14
37,123,158,Card,19.65
38,64,37,Wallet,49.26
39,31,119,Cash,35.03
40,81,67,Card,6.97
41,10,242,Card,19.7
42,8,299,Card,33.05
43,149,463,Card,7.53
44,59,213,UPI,6.07
45,178,308,Card,25.25
46,197,101,Wallet,19.97
47,198,56,Wallet,24.72
48,30,332,UPI,16.82
49,145,324,Cash,12.41
50,20,239,Cash,36.01
51,48,393,Wallet,28.16
52,130,231,Wallet,14.01
53,37,362,UPI,19.38
54,129,381,Cash,31.63
55,132,92,Cash,8.25
56,100,279,Card,11.64
57,54,447,Card,8.3
58,122,109,Card,41.55
59,25,317,UPI,38.86
60,131,168,Wallet,38.9
61,9,300,UPI,37.23
62,34,470,Cash,35.12
63,43,408,Wallet,26.46
64,74,435,Card,33.9
65,94,442,UPI,6.73
66,22,218,UPI,32.97
67,70,222,Card,40.0
68,130,161,UPI,27.52
69,94,16,Card,21.09
70,194,278,Cash,17.48
71,32,497,Wallet,33.93
72,106,57,Cash,36.18
73,144,62,Cash,44.19
74,1,498,Card,20.41
75,72,363,UPI,39.64
76,176,466,Cash,30.26
77,50,327,Cash,44.73
78,141,242,Cash,28.75
79,15,90,UPI,28.29
80,53,72,UPI,31.0
81,172,326,Card,38.72
82,8,30,Cash,48.41
83,74,359,Wallet,8.31
84,46,407,UPI,7.4
85,69,288,Card,47.19
86,114,86,Cash,28.84
87,147,234,Wallet,32.67
88,166,235,UPI,26.71
89,123,313,Wallet,9.21
90,139,365,UPI,39.56
91,117,265,Card,38.63
92,43,287,Wallet,19.03
93,20,327,Cash,18.78
94,148,393,Cash,42.7
95,21,269,UPI,8.26
96,82,186,Cash,44.65
97,57,131,Wallet,16.55
98,178,291,Card,31.68
99,74,481,UPI,47.12
100,98,277,Wallet,35.52
101,154,320,UPI,23.65
102,158,351,Card,36.03
103,110,180,UPI,20.48
104,115,290,Cash,17.48
105,159,480,Cash,49.85
106,42,377,UPI,38.79
107,68,163,Card,34.01
108,189,271,Card,20.99
109,189,376,Cash,7.21
110,70,96,Card,6.4
111,78,262,UPI,29.94
112,196,365,Wallet,39.29
113,90,469,UPI,29.18
114,111,353,Cash,42.84
115,112,288,Cash,6.5
116,103,436,Cash,21.5
117,145,83,Card,15.67
118,19,225,UPI,25.13
119,179,412,Wallet,8.26
120,70,223,UPI,47.94
121,63,469,Wallet,15.05
122,75,118,UPI,46.5
123,158,482,Cash,24.17
124,153,192,Wallet,49.35
125,104,79,UPI,29.93
126,75,78,Card,46.89
127,128,147,Card,5.24
128,199,107,UPI,38.67
129,154,382,Cash,45.64
130,56,271,Wallet,11.29
131,22,390,UPI,9.33
132,89,244,Card,24.11
133,19,73,Wallet,47.02
134,159,357,Card,29.41
135,26,468,Card,28.74
136,170,354,UPI,11.35
137,169,422,Card,5.04
138,23,26,Wallet,41.46
139,47,210,Cash,8.94
140,13,92,UPI,33.52
141,66,125,Wallet,46.16
142,194,435,UPI,14.39
143,144,73,Card,34.94
144,73,480,Card,8.54
145,156,123,Wallet,32.17
146,77,309,Wallet,12.38
147,163,184,Cash,38.12
148,169,187,Wallet,18.56
149,31,198,Wallet,25.85
150,85,78,UPI,31.97
151,160,348,Card,12.71
152,182,186,Wallet,38.37
153,59,344,Cash,18.62
154,41,253,Wallet,34.81
155,112,13,Card,12.12
156,194,299,Wallet,35.97
157,96,76,UPI,10.77
158,182,51,Card,24.14
159,168,275,Wallet,16.12
160,122,149,UPI,38.68
161,156,219,Card,16.79
162,165,122,Wallet,44.68
163,105,211,UPI,45.13
164,193,280,Cash,13.84
165,74,26,UPI,32.62
166,183,173,Cash,8.95
167,132,156,Wallet,22.62
168,99,238,UPI,37.1
169,126,376,Cash,34.67
170,138,82,Card,33.11
