vehicle_id,sensor_id,timestamp,vehicle_type,speed,road_segment_id
1,107,2025-01-24 16:04:00,Car,14,426
2,178,2025-02-08 18:26:00,Bike,108,485
3,126,2025-01-26 07:31:00,Car,70,122
4,145,2025-01-06 00:27:00,Truck,101,125
5,149,2025-01-23 03:50:00,Car,102,37
6,170,2025-01-26 00:41:00,Bike,18,170
7,102,2025-03-03 18:00:00,Bike,111,124
8,192,2025-02-15 14:41:00,Truck,59,357
9,163,2025-02-26 15:31:00,Bike,15,35
10,143,2025-02-15 11:21:00,Bike,92,87
11,152,2025-02-17 14:56:00,Bus,69,134
12,123,2025-02-14 13:34:00,Bus,53,196
13,159,2025-01-19 04:00:00,Truck,20,274
14,102,2025-01-13 05:53:00,Car,75,201
15,119,2025-03-07 21:20:00,Bus,56,369
16,145,2025-01-12 19:34:00,Car,117,285
17,114,2025-02-25 22:12:00,Bike,117,77
18,124,2025-02-04 02:24:00,Bus,82,59
19,193,2025-01-29 21:41:00,Truck,94,431
20,177,2025-02-23 15:11:00,Truck,97,126
21,170,2025-02-17 11:48:00,Truck,107,500
22,116,2025-01-12 02:54:00,Bus,95,401
23,183,2025-03-06 06:58:00,Car,12,109
24,199,2025-01-24 10:35:00,Bike,85,224
25,108,2025-01-29 01:10:00,Car,101,496
26,137,2025-01-17 11:11:00,Car,39,278
27,147,2025-03-05 15:38:00,Bike,99,68
28,159,2025-02-10 06:33:00,Bike,30,69
29,162,2025-02-21 20:56:00,Bus,37,165
30,185,2025-01-19 21:33:00,Bus,99,489
31,101,2025-02-10 03:04:00,Bus,71,305
32,187,2025-01-06 03:41:00,Bus,42,397
33,171,2025-03-02 08:56:00,Bus,94,162
34,110,2025-03-10 19:13:00,Bike,44,365
35,163,2025-01-13 07:27:00,Car,61,342
36,176,2025-01-04 00:38:00,Bus,43,309
37,180,2025-02-15 05:08:00,Bus,50,379
38,171,2025-03-07 06:58:00,Car,60,343
39,120,2025-01-23 07:17:00,Bus,56,435
40,117,2025-03-03 14:20:00,Car,91,387
41,193,2025-01-23 03:50:00,Car,67,42
42,163,2025-03-10 01:52:00,Bike,84,354
43,181,2025-02-08 17:14:00,Truck,66,416
44,194,2025-02-13 08:38:00,Bike,32,109
45,137,2025-01-21 09:31:00,Truck,57,51
46,131,2025-02-05 18:21:00,Truck,31,250
47,110,2025-02-12 07:46:00,Truck,26,497
48,144,2025-01-27 17:07:00,Bus,78,341
49,188,2025-01-13 05:45:00,Bike,117,430
50,132,2025-01-24 12:53:00,Truck,20,383
51,140,2025-02-23 00:09:00,Car,103,492
52,107,2025-01-22 12:47:00,Bus,24,21
53,110,2025-03-05 09:42:00,Bike,100,300
54,185,2025-01-28 10:52:00,Truck,44,139
55,150,2025-02-07 16:13:00,Car,42,359
56,187,2025-01-09 13:23:00,Bike,93,324
57,140,2025-02-20 22:59:00,Bike,25,499
58,116,2025-01-10 20:50:00,Bus,43,385
59,175,2025-01-12 10:16:00,Bike,75,92
60,145,2025-01-22 18:47:00,Bus,108,447
61,131,2025-02-07 22:24:00,Truck,49,280
62,178,2025-01-08 00:26:00,Bus,37,125
63,179,2025-02-17 05:28:00,Car,56,483
64,153,2025-02-20 04:00:00,Bus,48,397
65,185,2025-02-14 15:55:00,Car,79,111
66,191,2025-02-18 02:09:00,Bus,82,354
67,119,2025-02-19 00:27:00,Bike,29,139
68,132,2025-01-08 11:16:00,Truck,10,484
69,173,2025-02-17 05:31:00,Car,81,435
70,139,2025-01-26 06:18:00,Bus,96,273
71,131,2025-01-03 22:55:00,Bus,72,99
72,196,2025-01-11 01:24:00,Bus,76,252
73,101,2025-02-09 06:29:00,Bike,13,338
74,196,2025-01-24 23:03:00,Bike,67,104
75,132,2025-02-21 05:54:00,Car,34,214
76,176,2025-02-01 07:53:00,Car,56,249
77,129,2025-02-21 10:29:00,Bike,47,152
78,132,2025-03-10 03:17:00,Car,24,250
79,176,2025-01-04 15:29:00,Truck,72,275
80,125,2025-01-14 08:01:00,Truck,30,165
81,121,2025-02-10 16:16:00,Bike,108,487
82,165,2025-01-07 17:26:00,Car,66,341
83,137,2025-02-07 01:23:00,Bus,62,8
84,189,2025-03-09 17:43:00,Truck,55,284
85,145,2025-01-01 11:01:00,Bike,23,5
86,114,2025-02-01 03:23:00,Car,109,145
87,197,2025-03-08 10:33:00,Bike,85,101
88,143,2025-02-12 08:03:00,Bus,26,164
89,148,2025-01-30 17:48:00,Truck,48,374
90,174,2025-02-03 18:04:00,Bike,18,147
91,160,2025-01-08 07:26:00,Bike,108,64
92,166,2025-02-17 20:30:00,Bike,86,91
93,105,2025-01-18 18:32:00,Bus,88,117
94,108,2025-01-21 03:02:00,Bike,91,354
95,105,2025-01-01 03:27:00,Bus,106,267
96,172,2025-03-03 14:53:00,Bus,15,310
97,194,2025-03-10 16:56:00,Bus,100,173
98,131,2025-02-17 15:39:00,Truck,32,47
99,140,2025-01-21 08:48:00,Truck,68,140
100,175,2025-02-02 06:39:00,Bike,100,246
101,107,2025-01-14 23:03:00,Bike,107,149
102,171,2025-01-28 16:51:00,Truck,55,246
103,149,2025-01-08 11:14:00,Car,47,395
104,191,2025-03-11 10:23:00,Truck,23,487
105,161,2025-02-26 13:17:00,Bus,109,476
106,183,2025-03-10 10:20:00,Truck,81,5
107,161,2025-02-20 16:22:00,Bus,71,465
108,106,2025-02-08 20:02:00,Bike,44,184
109,174,2025-02-03 11:51:00,Car,28,20
110,183,2025-01-21 08:21:00,Bike,39,425
111,179,2025-03-05 15:32:00,Bus,87,46
112,103,2025-02-13 13:11:00,Bus,93,12
113,105,2025-01-29 16:43:00,Bus,34,70
114,157,2025-01-14 00:32:00,Car,49,17
115,121,2025-03-09 23:52:00,Truck,97,371
116,125,2025-02-27 02:05:00,Bike,23,147
117,102,2025-03-10 08:52:00,Bike,35,154
118,140,2025-01-10 07:15:00,Truck,111,304
119,159,2025-03-01 16:37:00,Bike,96,108
120,113,2025-02-09 01:53:00,Car,31,236
121,174,2025-03-05 19:18:00,Bike,57,308
122,181,2025-01-04 09:35:00,Bus,92,352
123,111,2025-02-23 03:59:00,Truck,119,70
124,186,2025-01-08 10:19:00,Car,60,183
125,111,2025-02-15 04:21:00,Truck,12,250
126,112,2025-01-07 17:55:00,Car,51,228
127,124,2025-01-14 07:29:00,Bus,28,102
128,144,2025-01-12 05:23:00,Truck,82,75
129,118,2025-01-05 00:22:00,Bike,37,417
130,154,2025-03-03 05:37:00,Car,93,446
131,199,2025-02-28 13:28:00,Truck,54,216
132,144,2025-01-25 17:05:00,Bike,80,407
133,107,2025-01-22 07:22:00,Truck,87,399
134,192,2025-02-03 05:44:00,Truck,72,411
135,152,2025-02-28 14:56:00,Truck,82,203
136,154,2025-02-08 06:34:00,Car,28,192
137,131,2025-01-27 10:27:00,Bike,56,249
138,150,2025-01-30 15:25:00,Bus,23,499
139,143,2025-01-13 13:13:00,Car,47,242
140,181,2025-01-26 00:35:00,Car,62,465
141,169,2025-02-15 02:57:00,Car,70,179
142,117,2025-03-04 18:13:00,Bus,45,437
143,182,2025-02-27 21:22:00,Bike,49,462
144,121,2025-03-04 20:37:00,Bike,90,219
145,136,2025-02-15 10:50:00,Bike,39,82
146,195,2025-01-08 05:02:00,Truck,18,92
147,155,2025-01-04 01:57:00,Truck,73,435
148,158,2025-02-19 06:51:00,Truck,42,175
149,102,2025-02-14 20:52:00,Bus,61,239
150,127,2025-03-04 17:55:00,Truck,98,260
151,173,2025-02-13 00:09:00,Bus,23,391
152,134,2025-03-09 17:18:00,Bike,84,365
153,160,2025-03-10 15:44:00,Truck,62,163
154,192,2025-01-09 13:29:00,Truck,108,48
155,153,2025-01-18 11:29:00,Car,114,329
156,162,2025-03-02 17:48:00,Bus,68,328
157,178,2025-01-25 00:34:00,Bike,87,116
158,196,2025-02-23 10:37:00,Car,103,429
159,106,2025-02-12 02:31:00,Car,50,337
160,175,2025-02-01 06:33:00,Bike,77,337
161,148,2025-02-13 20:13:00,Car,77,369
162,193,2025-02-20 19:25:00,Bus,101,225
163,184,2025-02-21 07:01:00,Bus,17,352
164,130,2025-02-06 07:30:00,Truck,11,328
165,157,2025-03-07 07:11:00,Car,114,147
166,160,2025-01-23 01:10:00,Truck,119,63
167,123,2025-03-08 01:55:00,Car,95,294
168,119,2025-01-29 02:21:00,Bus,50,323
169,136,2025-02-21 06:00:00,Bus,64,443
170,103,2025-02-24 07:42:00,Bus,25,325
171,191,2025-01-17 19:46:00,Car,102,13
172,119,2025-01-05 16:01:00,Bus,71,431
173,159,2025-02-08 23:54:00,Car,57,494
174,123,2025-01-15 07:29:00,Truck,39,189
175,149,2025-02-06 04:50:00,Car,21,287
176,148,2025-02-20 15:09:00,Truck,44,208
177,150,2025-02-08 08:49:00,Car,20,114
178,195,2025-02-03 22:55:00,Truck,73,480
179,135,2025-03-07 14:33:00,Bus,119,22
180,197,2025-01-04 22:16:00,Truck,59,349
181,199,2025-02-21 18:00:00,Bus,94,214
182,165,2025-02-14 06:20:00,Bus,30,171
183,178,2025-02-14 15:49:00,Truck,78,323
184,133,2025-01-21 19:44:00,Car,57,54
185,135,2025-02-21 06:22:00,Car,29,394
186,105,2025-01-05 02:21:00,Bike,110,298
187,138,2025-01-22 21:52:00,Car,76,320
188,141,2025-03-05 08:45:00,Bike,53,126
189,157,2025-01-22 13:35:00,Car,42,277
190,111,2025-01-27 04:05:00,Car,82,464
191,102,2025-02-21 08:45:00,Bus,70,204
192,117,2025-01-11 05:16:00,Bike,18,194
193,139,2025-01-08 17:38:00,Car,77,169
194,120,2025-01-25 12:18:00,Bike,44,152
195,114,2025-02-05 11:52:00,Bus,90,35
196,196,2025-01-17 06:29:00,Bus,107,184
197,198,2025-02-04 20:40:00,Bike,97,286
198,125,2025-02-19 12:28:00,Bus,105,57
199,107,2025-02-03 12:04:00,Truck,74,222
200,199,2025-01-13 01:07:00,Truck,17,303
201,193,2025-01-12 18:00:00,Bus,54,163
202,186,2025-01-23 02:22:00,Truck,96,19
203,141,2025-02-02 09:39:00,Car,56,370
204,143,2025-01-28 20:28:00,Bike,49,264
205,113,2025-03-03 20:59:00,Car,85,282
206,177,2025-01-06 12:47:00,Bike,63,113
207,101,2025-01-09 05:51:00,Bus,85,488
208,136,2025-03-07 11:39:00,Car,55,327
209,168,2025-02-23 18:52:00,Bus,56,30
210,137,2025-02-21 13:50:00,Bus,24,135
211,140,2025-01-24 08:13:00,Bike,114,67
212,161,2025-01-20 13:39:00,Bike,28,65
213,159,2025-02-06 05:48:00,Bike,35,292
214,113,2025-02-08 06:19:00,Car,61,25
215,188,2025-01-25 11:42:00,Truck,102,37
216,183,2025-02-24 07:33:00,Bike,31,1
217,101,2025-01-13 16:28:00,Bike,113,399
218,169,2025-02-24 01:46:00,Car,30,37
219,116,2025-03-01 21:49:00,Bike,60,141
220,188,2025-02-12 01:05:00,Car,47,232
221,127,2025-03-06 11:02:00,Bus,29,136
222,165,2025-02-20 02:26:00,Bike,38,389
223,134,2025-02-19 23:26:00,Bike,60,188
224,104,2025-01-28 17:22:00,Bus,13,128
225,164,2025-02-25 02:44:00,Bus,64,201
226,139,2025-01-30 19:13:00,Bus,80,127
227,175,2025-03-09 09:13:00,Bike,101,257
228,155,2025-02-08 15:57:00,Truck,37,164
229,135,2025-02-04 14:41:00,Truck,13,35
230,144,2025-02-02 04:12:00,Truck,31,194
231,122,2025-03-05 22:22:00,Bike,85,191
232,146,2025-03-08 10:54:00,Bus,54,104
233,130,2025-01-18 09:12:00,Bike,76,23
234,110,2025-01-27 06:46:00,Bus,95,265
235,109,2025-02-11 07:14:00,Bike,117,290
236,166,2025-02-01 04:56:00,Bike,75,430
237,113,2025-01-21 16:34:00,Bus,97,462
238,179,2025-02-12 18:28:00,Truck,43,384
239,173,2025-02-19 07:04:00,Bus,100,260
240,192,2025-02-04 22:51:00,Car,64,414
241,109,2025-03-07 13:17:00,Car,114,479
242,175,2025-01-20 13:01:00,Bus,10,358
243,193,2025-01-07 07:14:00,Bike,81,75
244,100,2025-01-05 10:46:00,Car,96,355
245,104,2025-03-09 14:39:00,Car,47,72
246,119,2025-01-17 04:11:00,Bike,15,259
247,107,2025-01-29 20:48:00,Bike,95,398
248,142,2025-03-09 17:39:00,Truck,34,188
249,175,2025-02-02 12:51:00,Bike,91,461
250,100,2025-03-11 09:42:00,Bus,26,173
251,156,2025-02-08 01:43:00,Bus,70,480
252,163,2025-01-17 04:32:00,Truck,21,290
253,183,2025-01-30 22:28:00,Car,15,45
254,127,2025-02-16 11:18:00,Car,99,61
255,136,2025-01-24 17:31:00,Bike,36,83
256,146,2025-01-30 00:19:00,Bus,17,123
257,175,2025-02-17 19:08:00,Car,92,358
258,136,2025-03-10 13:23:00,Truck,115,16
259,148,2025-01-09 14:51:00,Truck,74,66
260,143,2025-02-09 14:09:00,Bus,66,424
261,155,2025-01-11 17:02:00,Truck,102,145
262,127,2025-01-30 11:48:00,Truck,118,375
263,178,2025-01-23 11:31:00,Bus,108,162
264,105,2025-02-09 14:22:00,Bike,49,234
265,160,2025-02-19 11:09:00,Bike,23,380
266,119,2025-03-10 19:11:00,Truck,44,144
267,177,2025-02-05 13:16:00,Bike,57,358
268,101,2025-02-25 19:14:00,Bike,118,188
269,172,2025-03-09 04:54:00,Truck,93,322
270,136,2025-03-08 22:50:00,Bike,65,450
271,119,2025-01-19 13:15:00,Truck,58,474
272,125,2025-01-20 04:05:00,Car,22,13
273,128,2025-03-11 08:13:00,Bus,70,184
274,100,2025-01-22 15:34:00,Bus,111,111
275,134,2025-01-07 21:56:00,Bike,58,415
276,169,2025-02-23 00:53:00,Bike,55,290
277,158,2025-02-18 02:12:00,Bike,71,295
278,168,2025-02-13 00:29:00,Bus,17,451
279,132,2025-02-13 12:06:00,Car,52,392
280,150,2025-02-18 14:57:00,Car,29,215
281,177,2025-02-13 18:37:00,Bus,106,462
282,111,2025-03-04 08:58:00,Car,99,120
283,119,2025-01-05 13:08:00,Bus,48,382
