Status,Type,Station name,Station address,LGA,Suburbs,Postcode,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Charger_capacities,Tesla,Type 2,J-1772,Geopoint,ObjId,EV Station ID,Google maps drive to
Existing,Destination charger,Bonny Hills - Ingenia Holidays charger,24 Beach St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cabins in the Clouds charger,424 Moonabung Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Alex charger,RP42+P6 Upper Karuah River NSW,,,,,,,,,,,,,,,,,
Existing,Destination charger,Wine Country Motor Inn charger,5 Darwin Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Dragonfly Cottages charger,92 Heifer Station Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Gateway Inn Newcastle charger,26 William St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Club Charlestown charger,5 Lincoln St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Newcastle Airport - Premium Covered Car Park charger,Newcastle Airport,,,,,,,,,,,,,,,,,
Existing,Destination charger,81 Dora Street,,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sisters Rock Restaurant charger,298 Lake Canobolas Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Visionstream charger,20 Bowmans Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Castle Towers Shopping Centre charger,6 - 14 Castle St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Baldwin Living Seabeach Gardens charger,1 Seabeach Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,IKEA Marsden Park charger,1 Hollinsworth Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Giffnock Avenue charger,22 Giffnock Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Macquarie Centre (1) charger,63-71 Talavera Rd,,,,,,,,,,,,,,,,,
"10AM - 4PM""",ChargePoint,1,2,6.6 kW,0,0,2,-33.776716,,,,,,,,,,,,
Existing,Destination charger,Scribbly Gum Retreat charger,2 Koonora Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Zig Zag Railway Clarence charger,840 Chifley Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Park&Ride - Edmondson Park (North) charger,Gula Court,,,,,,,,,,,,,,,,,
Existing,Destination charger,Blue Emu Car Park charger,Ross Smith Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Rose Bay Shops - Richmond Rd charger,2A Richmond Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bondi Junction - Grafton St Parking charger,55 Grafton Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,71 Adelaide St Parking charger,71 Adelaide St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Intercontinental Hotel charger,117 Macquarie St Sydney NSW 2000,UNINCORPORATED,Sydney,2000,-33.862807,151.212369,,Tesla Destination,,,,,,,,,,
Existing,Destination charger,Intercontinental Sydney Double Bay charger,20-26 Cross Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Secure Parking - 2 Market St (formerly Allianz Centre) charger,186 Sussex St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Polish Club charger,43 Norton St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Woolworths Car Park Crows Nest charger,10 Falcon St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Penrose Village Cafe / AusPost Outlet charger,901 Penrose Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Centennial Vineyards charger,252 Centennial Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Stockland Shellharbour - West charger,211 Lake Entrance Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Coomealla Memorial Sporting Club and Motel charger,1 Matong St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Eddy’s of Canowindra charger,13 Tilga St,,,,,,,,,,,,,,,,,
Existing,Fast charger,NRMA - Shell Cove charger,Harbour Boulevard,,,,,,,,,,,,,,,,,
Existing,Fast charger,Ampol Foodary Waitara charger,59-61 Pacific Hwy Waitara 2077,HORNSBY,Waitara,2077,-33.710683,151.102535,Open 24/7,AmpCharge,1,2,150 kW,1,1,0,-33.710683,,,
Existing,Fast charger,bp Naremburn charger,169 Willoughby Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Allambie Grove Business Park charger,25 Frenchs Forest Rd E Frenchs Forest,,,,,,,,,,,,,,,,,
Existing,Fast charger,Ashfield Mall charger,260A Liverpool Road,,,,,,,,,,,,,,,,,
Existing,Fast charger,Narrandera Park charger,31 Twynam St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Luke Park charger,33 Powell St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Darley St Parking charger,10 Darley St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Armidale Visitors Centre charger,82 Marsh St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Sovereign Place charger,John Oxley Dr Before Chancellor Dr,,,,,,,,,,,,,,,,,
Existing,Fast charger,Hollydene Estate Wines charger,3483 Golden Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Settlers Motor Inn charger,120 New England Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bonalbo Norman Johnston Park charger,29 Woodenbong Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,McTavish Surf charger,91 Centennial Circuit,,,,,,,,,,,,,,,,,
Existing,Destination charger,Twin Towns Services Club charger,2 Wharf St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Smith House charger,100 Barney St South Hill NSW 2350,,,,,,,,,,,,,,,,,
Existing,Destination charger,Dylko Electrical charger,9 Stephen St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Kempsey Central charger,2-14 Belgrave St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Barron's Tyre & Mechanical charger,76 Dalgarno St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Observatory Port Macquarie charger,40 William St Port Macquarie NSW 2444,,,,,,,,,,,,,,,,,
Existing,Destination charger,Williamtown Technology Precinct charger,1 Technology Pl,,,,,,,,,,,,,,,,,
Existing,Destination charger,Lake Haven Shopping Centre charger,Cnr Lake Haven Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Landcare & Sustainable Living Centre Booragul Dual Charger charger,110 York St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Peterson House charger,Corner Broke Road & Wine Country Drive,,,,,,,,,,,,,,,,,
Existing,Destination charger,Stockland Green Hills (1) charger,1 Molly Morgan Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Parklands Country Gardens and Cottages charger,132 Govetts Leap Road Blackheath,BLUE MOUNTAINS,Blackheath,2785,-33.636895,150.293648,Open 24/7,,1,1,kW,1,0,0,-33.636895,,,
Existing,Destination charger,Chatsworth Cottage charger,65 Govetts Leap Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Westfield Warringah Mall - Tesla charger,127 Old Pittwater Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,NRMA Ocean Beach Holiday Resort charger,90 Sydney Ave Umina Beach NSW 2257,,,,,,,,,,,,,,,,,
Existing,Destination charger,Wenty Leagues charger,50 Smith St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Novotel Sydney Parramatta charger,350 Church St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Porsche Centre Parramatta charger,326 Church St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Trio Apartments Camperdown charger,1-5 Sterling Circuit,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sub Base Platypus charger,120 High St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Wilson Parking Opera House charger,2A Macquarie St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Park Hyatt Sydney charger,7 Hickson Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Middy's Padstow charger,125 Fairford Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Pullman Novotel IBIS Sydney Olympic Park charger,Showground Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,NHP Electrical Engineering Products Pty Ltd charger,30-34 Day St N,,,,,,,,,,,,,,,,,
Existing,Destination charger,IKEA Tempe (1) charger,634-726 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Harbourside Wilson Parking charger,59 Murray St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Greenwich Rd Kerbside Charger charger,13-15 Greenwich Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Coles Carpark. ( Red P1) charger,61 Atchison St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Intellihub - 20 Phoenix St charger,20 Phoenix St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Canopy Lane Cove (3) charger,12 Rosenthal Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Moosewood charger,Kangaroo Valley NSW 2577,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bundanon Art Museum and the Bridge charger,170 Riversdale Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Milton Park Country House charger,Horderns Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bangalay Luxury Villas charger,30 Staples St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Goulburn Worker's Club charger,256 Auburn St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Seabird charger,103 Bruce Cameron Drive,,,,,,,,,,,,,,,,,
Existing,Destination charger,Train St Central charger,44 Train St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Corrigans Cove Resort charger,204 Beach Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Charles Sturt University Albury - Wodonga Campus charger,386 Elizabeth Mitchell Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Waring Gardens - Deniliquin charger,281 Cressy St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Winsor Park Motor Inn charger,471 Young St,,,,,,,,,,,,,,,,,
